Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Әдеми-Ай,салон красоты,Парикмахерские; Ногтевые студии; Визажисты; Эпиляция; Оформление бровей и ресниц,"микрорайон Лесхоз, 9",1 этаж,,Лесхоз м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.5,3,87022999940,87074699940,87016596273,,,,https://instagram.com/ademi_ai_2020,,https://wa.me/77016596273,,,,,,,47.096759,51.873285,https://2gis.com/firm/70000001035313672,branch
Golden Ray,академия взаимоотношений,Эпиляция; Центры йоги; Сексолог; Личностные тренинги; Массажист,"Георгия Канцева улица, 7",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,5.0,3,87789037669,,,,,,,,https://wa.me/77789037669,,,,,,,47.10785,51.935055,https://2gis.com/firm/70000001050157243,branch
Tarabrina_beauty,ногтевая студия,Ногтевые студии,"улица Академика Жарбосынова, 84/2",цокольный этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,75,87475003194,87789282580,,,,,https://instagram.com/tarabrina_beauty,,https://wa.me/77475003194,https://wa.me/77789282580,,,,,,47.108523,51.895623,https://2gis.com/firm/70000001036211456,branch
Pink Mood,студия красоты,Ногтевые студии; Косметолог; Оформление бровей и ресниц,"улица Кайыргали Смагулов, 56а",цокольный этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.9,15,87751076162,87029871227,,,,,https://instagram.com/pinkmood_atyrau,,https://wa.me/77029871227,https://wa.me/77751076162,,,,,,47.094288,51.915771,https://2gis.com/firm/70000001062918637,branch
Javid,барбершоп,Барбершопы,"улица Айнаш Байжигитова, 81а",1 этаж,,Балыкши м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,35,87758533510,,,,,,https://instagram.com/m.cavid_style,,https://wa.me/77758533510,,,,,,,47.079217,51.874402,https://2gis.com/firm/70000001057047936,branch
DeLux,салон красоты,Ногтевые студии; Косметолог; Эпиляция,"проспект Азаттык, 169г",1 офис; 1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,5.0,10,87757540528 (кабинет косметолога),,,,,,https://instagram.com/dinara_cosmed,,https://wa.me/77757540528,,,,,,,47.083187,51.899564,https://2gis.com/firm/70000001057839007,branch
Elisa,салон красоты,Парикмахерские; Визажисты,"микрорайон Авангард-3, 8",2 этаж,,Авангард-3 м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,3.6,9,87750850555,87759818886,,,,,https://instagram.com/elisa_beauty_center,https://facebook.com/elisabeautycenter,https://wa.me/77750850555,https://wa.me/77759818886,,,,,,47.094624,51.879986,https://2gis.com/firm/70000001035236051,branch
Diana,салон красоты,Парикмахерские; Ногтевые студии; Эпиляция; Оформление бровей и ресниц,"улица Акжан Машанов, 12Б",1 этаж,,Самал м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,3,"87758884339 (косметолог, шугаринг)",87757008883,,,,,,,https://wa.me/77758884339,https://wa.me/77757008883,,,,,,47.126465,51.876623,https://2gis.com/firm/70000001060638278,branch
Nail studio,,Ногтевые студии; Обучение мастеров для салонов красоты,"улица Беймбет Майлин, 83",2 кабинет; 2 этаж,,Мясокомбинат м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,5.0,16,87470317352,,,,http://mst.link/zapis_tut,,https://instagram.com/nailsatyrau_dip.s,,https://wa.me/77470317352,,,,,,,47.115696,51.94018,https://2gis.com/firm/70000001079611890,branch
Shade,салон лазерной эпиляции,Ногтевые студии; Эпиляция,"проспект Азаттык, 93",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00 (по предварительной записи: пн-вс),+05:00,5.0,4,87013222137,87753478729,,,,,https://instagram.com/shade_atyrau,,https://wa.me/77013222137,https://wa.me/77753478729,,,,,,47.092863,51.919976,https://2gis.com/firm/70000001034943824,branch
ake_ana_barbershop,,Барбершопы,"улица Арона Аюпова, 25",,,Жулдыз м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,2.7,10,87780993339,,,,,,https://instagram.com/ake_ana_atyrau,,https://wa.me/77780993339,,,,,,,47.151934,51.979612,https://2gis.com/firm/70000001054153017,branch
Султануайс,салон красоты,Парикмахерские; Ногтевые студии; Эпиляция,"проспект Азаттык, 62",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,3.5,4,87014580379,87758256326,,,,,,,https://wa.me/77014580379,https://wa.me/77758256326,,,,,,47.093257,51.921972,https://2gis.com/firm/70000001034730984,branch
BA,салон красоты,Парикмахерские; Ногтевые студии; Визажисты; Оформление бровей и ресниц; Эпиляция,"микрорайон Авангард-2, 4Б",2 этаж,,Авангард-2 м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,4.6,18,87023155406,,,,,,https://instagram.com/aisaulesalon,,https://wa.me/77023155406,,,,,,,47.095552,51.875111,https://2gis.com/firm/70000001035225835,branch
Раушан,салон красоты,Парикмахерские; Ногтевые студии; Визажисты; Эпиляция; Косметолог,"микрорайон Алмагуль, 24",цокольный этаж,,Алмагул м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,3.1,3,87023278234 (женский мастер),87028071630 (мастер универсал),87013439657 (женский мастер),,,,https://instagram.com/salon_raushan_,,https://wa.me/77023278234,https://wa.me/77013439657,,,,,,47.12075,51.947781,https://2gis.com/firm/70000001035467270,branch
Асыл мастер,семейный салон,Парикмахерские; Массажист,"улица Габдол Сланов, 23а",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,42,87751745476,,,,,,https://instagram.com/asyl_s.s,,https://wa.me/77751745476,,,,,,,47.120707,51.925798,https://2gis.com/firm/70000001045356282,branch
Хиджама Атырау,центр альтернативной медицины,Косметолог; Альтернативная медицина; Массажист,"микрорайон Привокзальный 3а, 19а",,,Привокзальный-3а м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00,+05:00,,,87789127343,,,,,,https://instagram.com/asel_hidjama_massaj,,https://wa.me/77789127343,,,,,,,47.127114,51.947849,https://2gis.com/firm/70000001042752505,branch
Розаль,салон красоты,Парикмахерские; Визажисты; Ногтевые студии,"проспект Азаттык, 64",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Пн: 10:00-12:00, 13:00-19:00; Вт: 10:00-12:00, 13:00-19:00; Ср: 10:00-12:00, 13:00-19:00; Чт: 10:00-12:00, 13:00-19:00; Пт: 10:00-12:00, 13:00-19:00; Сб: 10:00-12:00, 13:00-19:00; Вс: 10:00-12:00, 13:00-19:00 (по предварительной записи: вт-вс)",+05:00,4.5,5,87757710037,87760922290 (мужской мастер),,,,,https://instagram.com/akma_nail_atyrau,,https://wa.me/77760922290,,,,,,,47.092998,51.921454,https://2gis.com/firm/70000001034731941,branch
Crystall Beauty ,,Парикмахерские; Ногтевые студии; Оформление бровей и ресниц,"проспект Каныша Сатпаева, 15Б",3 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,1,87780814465,,,,http://zapis.kz/crystall__beauty,,,,https://wa.me/77780814465,,,,,,,47.106146,51.899261,https://2gis.com/firm/70000001098878993,branch
DD Studio,студия красоты и здоровья,Косметолог; Визажисты; Центры йоги; Массажист; Оформление бровей и ресниц; БАДы,"улица Ади Шарипов, 36",2 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,4.6,5,87754484048,,,,,,https://instagram.com/dd.studio_atyrau,,https://wa.me/77754484048,,,,,,,47.089875,51.912626,https://2gis.com/firm/70000001039641644,branch
Бархат,салон красоты,Парикмахерские; Визажисты; Ногтевые студии; Обучение мастеров для салонов красоты,"микрорайон Авангард-2, 15",1 этаж,,Авангард-2 м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,3.2,14,87755937000 (администратор),87011612208,,,,,,,https://wa.me/77755937000,https://wa.me/77011612208,,,,,,47.094589,51.876786,https://2gis.com/firm/70000001035227832,branch
Di l`ange,салон красоты,Парикмахерские; Ногтевые студии; Эпиляция; Массажист,"проспект Азаттык, 70",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.4,12,87756836658 (мастер по бровям и ресницам),87017549112 (мастер по маникюру),87011852300 (женский мастер),,,,,,https://wa.me/77756836658,,,,,,,47.09167,51.918899,https://2gis.com/firm/70000001035625885,branch
Галия,салон красоты,Парикмахерские; Ногтевые студии; Оформление бровей и ресниц; Визажисты; Обучение мастеров для салонов красоты,"Махамбета Утемисова улица, 127",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00 (по предварительной записи: пн-вс),+05:00,4.6,12,87011746036 (директор),87081878721 (администратор),,,,,https://instagram.com/galiya_suleiman,,https://wa.me/77011746036,,,,,,,47.096279,51.923767,https://2gis.com/firm/70000001067247315,branch
Геолог,парикмахерская,Парикмахерские,"улица Ануарбек Аккулов, 46",,,Геолог м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,4.8,2,,,,,,,,,https://wa.me/77759899239,,,,,,,47.152523,51.942772,https://2gis.com/firm/70000001074955091,branch
Стиль,салон красоты,Парикмахерские; Эпиляция,"улица Жолдаскали Досмухамбетов, 19",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.7,31,87017434550,,,,,,,,,,,,,,,47.100212,51.926669,https://2gis.com/firm/70000001034736033,branch
MOK Art Studio,студия красоты,Парикмахерские; Эпиляция; Ногтевые студии; Оформление бровей и ресниц; Косметолог,"улица Кайыргали Смагулов, 56",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00 (по предварительной записи),+05:00,2.6,3,,,,,,,https://instagram.com/mok_artstudio_,,,,,,,,,47.093543,51.915633,https://2gis.com/firm/70000001045879474,branch
Madi Barber,барбершоп,Барбершопы,"улица Ашенова, 2",1 этаж,,Балыкши м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,8,87474050043,,,,http://www.tiktok.com/@madi_gibrat,,https://instagram.com/madi.gibrat,,https://wa.me/77474050043,,,,,,,47.076325,51.874495,https://2gis.com/firm/70000001096244282,branch
Орбита,салон красоты,Парикмахерские; Ногтевые студии; Визажисты,"микрорайон Привокзальный 3а, 6а",1 этаж,,Привокзальный-3а м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-18:30; Вт: 10:00-18:30; Ср: 10:00-18:30; Чт: 10:00-18:30; Пт: 10:00-18:30; Сб: 10:00-18:30; Вс: 10:00-18:30,+05:00,4.6,5,87014253030,,,,,,,,https://wa.me/77784053807,https://wa.me/77014253030,,,,,,47.128096,51.947849,https://2gis.com/firm/70000001035196830,branch
Vnkeratin,студия красоты,Парикмахерские; Обучение мастеров для салонов красоты,"проспект Азаттык, 123",2 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи),+05:00,5.0,24,87750250924,87013291649,,,,,https://instagram.com/vnkeratin,,https://wa.me/77750250924,https://wa.me/77013291649,,,,,,47.089719,51.913796,https://2gis.com/firm/70000001087010478,branch
Beauty You,салон красоты,Парикмахерские; Массажист; Эпиляция; Ногтевые студии; Косметолог,"проспект Мухтара Ауэзова, 26",,,Жилгородок м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи: пн-вс),+05:00,4.1,11,87016179542,,,,,,,,https://wa.me/77016179542,,,,,,,47.095419,51.905344,https://2gis.com/firm/70000001082452599,branch
Best,барбершоп,Барбершопы,"Махамбета Утемисова улица, 120 к2",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,,+05:00,3.2,3,87072131414,,,,,,https://instagram.com/best.barbershop.kz,,https://wa.me/77072131414,,,,,,,47.099264,51.928121,https://2gis.com/firm/70000001091476239,branch
Ell Kss hairs,студия красоты,Парикмахерские; Обучение мастеров для салонов красоты,"улица Сакен Сейфуллин, 5Б",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 14:00-20:00 (по предварительной записи),+05:00,5.0,49,,,,,,,https://instagram.com/ell.kss.hairs,,https://wa.me/77022739872,,,,,,,47.103388,51.905939,https://2gis.com/firm/70000001082670571,branch
Saya Magzumova,салон красоты,Парикмахерские; Ногтевые студии; Оформление бровей и ресниц; Массажист; Визажисты; Эпиляция,"улица Кабдрахман Ерниязов, 13/1",цокольный этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.1,3,87023112686,,,,,,https://instagram.com/sm_saya_magzumova,,https://wa.me/77023112686,,,,,,,47.107649,51.896408,https://2gis.com/firm/70000001051318802,branch
Мервет,салон красоты,Парикмахерские; Ногтевые студии; Визажисты; Массажист; Мануальный терапевт,"трасса Атырау-Доссор, 44",1 этаж; 11,,Береке м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Пн: 08:30-12:30, 14:00-23:00; Вт: 08:30-12:30, 14:00-23:00; Ср: 08:30-12:30, 14:00-23:00; Чт: 08:30-12:30, 14:00-23:00; Пт: 08:30-12:30, 14:00-23:00; Сб: 08:30-14:00; Вс: 08:30-14:00",+05:00,1.4,1,87757220441,,,,,,https://instagram.com/mervetbeauty,,https://wa.me/77757220441,,,,,,,47.143581,51.958392,https://2gis.com/firm/70000001093688413,branch
Andzhela beauty studio,салон красоты,Эпиляция,"проспект Азаттык, 49а",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+05:00,4.9,20,87014932665,,,,,,,,https://wa.me/77014932665,,,,,,,47.099256,51.923264,https://2gis.com/firm/70000001057499146,branch
Ultimate,студия эпиляции,Эпиляция,"Махамбета Утемисова улица, 120а",232 кабинет; 2 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,5.0,10,87056950801,,,,,,https://instagram.com/ultimate.laser.atyrau,,https://wa.me/77056950801,,,,,,,47.102249,51.931139,https://2gis.com/firm/70000001076888436,branch
Euro Lasers,студия лазерной эпиляции,Эпиляция,"улица Жалена Тулепова, 6",,,Ак Шагала м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,5.0,14,87056615022,,,,,,https://instagram.com/euro_lasers,,https://wa.me/77056615022,,,,,,,47.09483,51.893545,https://2gis.com/firm/70000001054954447,branch
Aya lash & PM Studio,студия красоты,Оформление бровей и ресниц; Перманентный макияж,"проспект Азаттык, 61",301 офис; 301 кабинет; 3 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,5.0,1,87713429272,,,,,,https://instagram.com/atyrau_resnici_pm,,https://wa.me/77754267915,,,,,,,47.097058,51.922861,https://2gis.com/firm/70000001083325745,branch
Keratin Studio by Yuliya Bond,студия,Парикмахерские; Обучение мастеров для салонов красоты; Визажисты,"проспект Азаттык, 129Б",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,9,87751617179,,,,,,https://instagram.com/keratin_studio.bond,,https://wa.me/77751617179,,,,,,,47.088833,51.911225,https://2gis.com/firm/70000001071560531,branch
Рахима,парикмахерская,Парикмахерские,"улица Мерген, 16а",,,Рембаза м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,,+05:00,,,87006785188,,,,,,,,https://wa.me/77006785188,,,,,,,47.081769,51.866346,https://2gis.com/firm/70000001096945723,branch
Bali SPA,,SPA-процедуры,"трасса Атырау-Доссор, 42",,,Береке м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,,+05:00,,,,,,,,,,,,,,,,,,47.143929,51.957666,https://2gis.com/firm/70000001095725254,branch
Экзотика,салон красоты,Парикмахерские; Визажисты; Ногтевые студии,"Махамбета Утемисова улица, 116г",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,,,87759857939,87760982277,,,,,https://instagram.com/nafisazhanysbekova,,https://wa.me/77759857939,,,,,,,47.102251,51.929765,https://2gis.com/firm/70000001098541828,branch
Kassel_studio,салон красоты,Парикмахерские; Оформление бровей и ресниц; Ногтевые студии; Эпиляция; Косметолог,"проспект Азаттык, 42а",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.8,31,87026075515,,,,http://zapis.kz/kassel,,https://instagram.com/kassel_studio_,,https://wa.me/77026075515,,,,,,,47.098286,51.923815,https://2gis.com/firm/70000001075274078,branch
Кабинет массажа и косметологии,,Косметолог; Альтернативная медицина,"улица Шокан Уалиханов, 5/2",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,5.0,2,87478455307,87479609056,,,,,https://instagram.com/massaj_fariza_atyrau,,https://wa.me/77479609056,https://wa.me/77478455307,,,,,,47.108493,51.92472,https://2gis.com/firm/70000001067218005,branch
Rufina beauty bar,салон красоты,Парикмахерские; Ногтевые студии; Массажист; Визажисты; Оформление бровей и ресниц,"улица Сырым Датова, 13а",318 бутик; 3 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:30-20:00; Вт: 09:30-20:00; Ср: 09:30-20:00; Чт: 09:30-20:00; Пт: 09:30-20:00; Сб: 09:30-20:00; Вс: 09:30-20:00,+05:00,2.5,1,87023073497,,,,,,https://instagram.com/rufina_beautybar_atyrau,,https://wa.me/77023073497,,,,,,,47.098548,51.931207,https://2gis.com/firm/70000001069470433,branch
Мёд,салон красоты,Парикмахерские; Ногтевые студии; Оформление бровей и ресниц; Массажист; Визажисты,"улица Жолдаскали Досмухамбетов, 12",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,,,87786487595,,,,,,https://instagram.com/honey.beauty.atyrau,,https://wa.me/77786487595,,,,,,,47.100572,51.926706,https://2gis.com/firm/70000001097836522,branch
Dinara Danesh,клуб здоровья,SPA-процедуры; Массажист; БАДы; Центры йоги,"улица Мендекеш Сатыбалдиева, 4/1",,,Оркен м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,,,87027013341,,,,,,,,https://wa.me/77027013341,,,,,,,47.087915,51.85771,https://2gis.com/firm/70000001094443547,branch
Deva,студия лазерной эпиляции,Эпиляция,"улица Салтанат Балгымбаев, 48",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,5.0,25,87089899509,,,,,,https://instagram.com/deva.laser.studio,,https://wa.me/77089899509,,,,,,,47.112715,51.915491,https://2gis.com/firm/70000001090345611,branch
Ақ сұлтан,салон красоты,Парикмахерские; Ногтевые студии; Визажисты; Оформление бровей и ресниц; Эпиляция; Перманентный макияж,"микрорайон Алмагуль, 21",цокольный этаж,,Алмагул м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (по предварительной записи: пн-вс),+05:00,3.9,12,87014496071 (администратор),87013401727,,,,,,,https://wa.me/77014496071,https://wa.me/77013401727,,,,,,47.118961,51.947093,https://2gis.com/firm/70000001035474047,branch
Bodyface,кабинет косметолога,Косметолог,"улица Гизат Алипов, 1",15 кабинет; 1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,7,87077250893,87014195838,,,,,https://instagram.com/bodyface_atyrau,,https://wa.me/77014195838,https://wa.me/77077250893,,,,,,47.098322,51.921201,https://2gis.com/firm/70000001068003618,branch
Barberina.06,барбершоп,Барбершопы,"улица Алия Молдагулова, 50",2 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,9,87787020224,,,,,,https://instagram.com/_barberina.06_,,https://wa.me/77787020224,,,,,,,47.12586,51.911224,https://2gis.com/firm/70000001090449208,branch
