Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
Sheber,компания по изготовлению мебели на заказ,Мебель на заказ; Корпусная мебель,"улица Курмангазы, 72а",1 этаж,,Жеруйык м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00,+05:00,,,87760605757,,,,,,,https://instagram.com/sheber_mebel_atyrau,,,https://wa.me/77760605757,,,,,,47.115798,51.886536,https://2gis.com/firm/70000001086918526,branch
Анель,мебельный цех,Мебель на заказ; Мебельные фабрики,,,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Пн: 10:00-13:00, 14:00-18:00; Вт: 10:00-13:00, 14:00-18:00; Ср: 10:00-13:00, 14:00-18:00; Чт: 10:00-13:00, 14:00-18:00; Пт: 10:00-13:00, 14:00-18:00",+05:00,,,87011488687 (Гаухар),,,,,,,,,,https://wa.me/77011488687,,,,,,47.139559,51.881736,https://2gis.com/firm/70000001089999624,branch
Rumiya,компания по изготовлению мебели под заказ,Мебель на заказ; Мебель для кухни; Корпусная мебель; Декоративные отделочные элементы и материалы; Мебель для ванных комнат,"улица Сырым Датова, 69",,,Ак Депо м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Вт: 10:00-13:00, 14:00-19:00; Ср: 10:00-13:00, 14:00-19:00; Чт: 10:00-13:00, 14:00-19:00; Пт: 10:00-13:00, 14:00-19:00; Сб: 10:00-13:00, 14:00-19:00",+05:00,3.0,2,87023620181,,,,,,,https://instagram.com/rumiya_mebel,,,https://wa.me/77023620181,,,,,,47.105736,51.946024,https://2gis.com/firm/70000001069254429,branch
Dream mebel,магазин мебели,Мебель на заказ; Мебель для кухни; Мебель для ванных комнат; Корпусная мебель; Детская мебель; Офисная мебель,,,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,1.9,3,87750195151,,,,,,,https://instagram.com/atyrau_dream_mebel,,,https://wa.me/77750195151,,,,,,,,https://2gis.com/firm/70000001075176334,branch
Linkor,компания по изготовлению мебели под заказ,Мебель на заказ; Мебель для кухни; Офисная мебель; Детская мебель; Изделия из камня для помещений; Корпусная мебель; Мебель для ванных комнат,"улица Ширина, 47Б",,,Ширина,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00,+05:00,,,87022546445,87026548773,,,,,,https://instagram.com/linkor_mebel_atyrau,,,https://wa.me/77026548773,https://wa.me/77022546445,,,,,47.059454,51.876576,https://2gis.com/firm/70000001092021445,branch
Осман,компания по изготовлению мебели,Мебель на заказ; Мебель для кухни; Мягкая мебель,"9-я улица, 3",,,Оркен 2 м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,87012386138,,,,,,,,,,https://wa.me/77012386138,,,,,,47.086592,51.84014,https://2gis.com/firm/70000001076639430,branch
Arte,мебельный салон,Мебель на заказ; Корпусная мебель; Мебель для кухни,"проспект Азаттык, 123",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Пн: 10:00-13:00, 14:00-19:00; Вт: 10:00-13:00, 14:00-19:00; Ср: 10:00-13:00, 14:00-19:00; Чт: 10:00-13:00, 14:00-19:00; Пт: 10:00-13:00, 14:00-19:00; Сб: 10:00-13:00, 14:00-19:00; Вс: 10:00-13:00, 14:00-19:00",+05:00,,,,,,,,,,,,,,,,,,,47.089774,51.91349,https://2gis.com/firm/70000001034927851,branch
ТРИО,студия мебели,Мебель на заказ; Корпусная мебель; Детская мебель; Мебель для учебных и дошкольных учреждений,,,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00,+05:00,1.0,1,87021124455,,,,,,,https://instagram.com/sm_trio_atyrau,,,https://wa.me/77021124455,,,,,,,,https://2gis.com/firm/70000001034981873,branch
КухниСтрой,компанию по производству мебели на заказ,Мебель на заказ; Мебель для кухни; Мебель для ванных комнат; Детская мебель; Корпусная мебель; Офисная мебель,"улица Сырым Датова, 191",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-16:00,+05:00,5.0,2,87784053084,,,,,,,https://instagram.com/kuhnistroi_atyrau,,,https://wa.me/77784053084,,,,,,47.122219,51.959433,https://2gis.com/firm/70000001034992211,branch
Мебельный салон,ИП Султанби,Мебель на заказ; Мебель для культурно-досуговых учреждений; Мягкая мебель; Корпусная мебель; Мебель для кухни; Мебельные магазины,"проспект Султана Бейбарыса, 45Б/2",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,,,87018913300,,,,,,,https://instagram.com/sultanbi_mebel,,,,,,,,,47.124771,51.955085,https://2gis.com/firm/70000001076584999,branch
Гольфстрим,мебельная компания,Мебель на заказ; Мебель для кухни; Мебельные фасады; Офисная мебель; Корпусная мебель,"Махамбета Утемисова улица, 100",15 офис; 1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-19:00; Сб: 10:00-15:00,+05:00,,,,,,,,,,,,,,,,,,,47.113376,51.928862,https://2gis.com/firm/70000001035507175,branch
Miseker,офис,Мебель на заказ; Корпусная мебель; Мебель для кухни; Детская мебель; Офисная мебель,"проспект Азаттык, 74в",1-2 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Пн: 10:00-13:00, 14:00-18:00; Вт: 10:00-13:00, 14:00-18:00; Ср: 10:00-13:00, 14:00-18:00; Чт: 10:00-13:00, 14:00-18:00; Пт: 10:00-13:00, 14:00-18:00",+05:00,,,87756622266,,,,,,,https://instagram.com/mebel_miseker,,,https://wa.me/77756622266,,,,https://t.me/krasnoderevchik,,47.089122,51.916996,https://2gis.com/firm/70000001046538392,branch
Карт Бланш,Производственно-складская база,Мебель на заказ; Корпусная мебель,"улица Отешкали Атамбаев, 62",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00; Сб: 09:00-13:00, 14:00-18:00",+05:00,,,,,,,,,,,,,,,,,,,47.085799,51.93321,https://2gis.com/firm/70000001035508229,branch
RAV-Service,СТО,Мебель на заказ; Легковой автосервис; Кузовной ремонт; Замена масла; Мебель для кухни; Офисная мебель,"улица Арона Аюпова, 73",,,Жулдыз м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,5.0,1,87758457777,,,,,,,,,,https://wa.me/77758457777,,,,,,47.159116,51.998567,https://2gis.com/firm/70000001040635357,branch
АлиСпецСервис,мебельная компания,Мебель на заказ; Мебель для кухни; Корпусная мебель; Офисная мебель; Детская мебель,"улица Арона Аюпова, 9а",,,Жулдыз м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00 (по предварительной записи: вс),+05:00,5.0,5,87007779090,87014100141,,,,,,https://instagram.com/mebel_atyrau_acc,,,https://wa.me/77007779090,https://wa.me/77014100141,,,,,47.150914,51.976936,https://2gis.com/firm/70000001044835714,branch
Storage systems,магазин металлической мебели,Мебель на заказ; Стеллажи / Витрины; Сейфы; Металлическая мебель; Торгово-выставочное оборудование; Корпусная мебель; Мебельная фурнитура; Офисная мебель; Бытовая техника; Противопожарное оборудование; Мебель для общественного питания; Техника для склада; Холодильное оборудование; Матрасы; Оборудование для общественного питания; Медицинские приборы; Входные двери,"проспект Султана Бейбарыса, 428",,,Самал м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 10:00-15:00 (по предварительной записи: пн-сб 9:00-18:00),+05:00,4.8,18,87021899010 (техническая поддержка),87789207014 (отдел продаж),,,,http://storagesystems.kz,,https://instagram.com/storagesystems_atyrau,https://facebook.com/storagesystems.atyrau,,https://wa.me/77789207014,https://wa.me/77021899010,,,,,47.119459,51.875054,https://2gis.com/firm/70000001046163788,branch
Компания по изготовлению мебели под заказ,ИП Элитная мебель,Мебель на заказ; Корпусная мебель; Мебель для кухни,"микрорайон Мясокомбинат, 136в",,,Мясокомбинат м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,,,87781603486,,,,,,,https://instagram.com/atyraumebelkz,,,https://wa.me/77781603486,,,,,,47.117158,51.951882,https://2gis.com/firm/70000001058780746,branch
Компания по изготовлению мебели на заказ,,Мебель на заказ; Мебель для кухни; Корпусная мебель,"проспект Султана Бейбарыса, 45/8",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,,,87781145670,87025751306,,,,,,https://instagram.com/atyrau.mebel,,,https://wa.me/77781145670,https://wa.me/77025751306,,,,,47.126144,51.957982,https://2gis.com/firm/70000001059060930,branch
Promebelatyrau,компания по изготовлению мебели на заказ,Мебель на заказ; Мебель для кухни,"микрорайон Авангард-4, 89а",,,Авангард-4 м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,,,,,,,,,,https://instagram.com/promebelatyrau,,,https://wa.me/77751578685,,,,,,47.097919,51.889981,https://2gis.com/firm/70000001064313035,branch
Alpamys,компания по изготовлению мебели под заказ,Мебель на заказ; Корпусная мебель,"улица Отешкали Атамбаев, 29/1",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-19:00; Вс: 11:00-19:00,+05:00,,,87020284778,,,,,,,https://instagram.com/mebel.atyrau.2020,,,https://wa.me/77020284778,,,,,,47.086979,51.928267,https://2gis.com/firm/70000001066805098,branch
Рена,мебельная студия,Мебель на заказ; Корпусная мебель; Мебель для кухни,,,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,,+05:00,,,87014565627,,,,,,,https://instagram.com/atyrau_mebel_rena,,,https://wa.me/77014565627,,,,,,,,https://2gis.com/firm/70000001067295985,branch
Alexandra,компания по изготовлению мебели на заказ,Мебель на заказ; Детская мебель; Корпусная мебель; Мебель для кухни; Офисная мебель; Мебель для ванных комнат,,,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,,,87079261982,,,,,,,https://instagram.com/mebel.alexandra,,,https://wa.me/77079261982,,,,,,,,https://2gis.com/firm/70000001068595435,branch
Karol,компания по изготовлению мебели под заказ,Мебель на заказ; Корпусная мебель; Мебель для кухни; Офисная мебель; Детская мебель,"микрорайон Алмагуль, 5а",126 бутик; 1 этаж,,Алмагул м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,,,87077888679,,,,,,,https://instagram.com/karol_mebel_atyrau,,,https://wa.me/77077888679,,,,,,47.120791,51.939594,https://2gis.com/firm/70000001075519590,branch
Матрасон,интернет-магазин,Мебель на заказ; Матрасы; Корпусная мебель,,,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,,,87006574821,87789011715,87472956545,,,http://matrasson.kz,,https://instagram.com/matrasson_v,,,https://wa.me/77006574821,https://wa.me/77789011715,https://wa.me/77472956545,,,,,,https://2gis.com/firm/70000001076176507,branch
AJK,компания по производству мебели,Мебель на заказ; Бытовая техника; Мебель для кухни; Мебель для ванных комнат; Корпусная мебель,"Георгия Канцева улица, 1",3 бутик,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,,,,,,,,,,https://instagram.com/smeg_ajk,,,https://wa.me/77016916666,,,,,,47.106794,51.934154,https://2gis.com/firm/70000001076541374,branch
Pro100 mebel,компания по изготовлению мебели на заказ,Мебель на заказ; Мебель для кухни; Мебель для ванных комнат; Корпусная мебель,"проспект Мухтара Ауэзова, 78/4",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00,+05:00,,,87017580205,,,,,,,https://instagram.com/pro_100mebel,,,https://wa.me/77017580205,,,,,,47.080371,51.91695,https://2gis.com/firm/70000001081585814,branch
D_dominus,мебельный магазин,Мебель на заказ; Корпусная мебель; Мебельные магазины,"улица Сырым Датова, 54",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,,,87788055230,,,,,,,https://instagram.com/d_dominus_,,,https://wa.me/77788055230,,,,,,47.104454,51.944258,https://2gis.com/firm/70000001083819547,branch
mebelmarket_06,,Мебель на заказ; Мебель для кухни; Детская мебель; Мебель для салонов красоты,"улица Курмангазы, 119",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00,+05:00,,,87753834707,,,,,,,https://instagram.com/mebelmarket_06,,,https://wa.me/77753834707,,,,,,47.125732,51.890702,https://2gis.com/firm/70000001084546645,branch
Monte mebel,,Мебель на заказ; Мебель для кухни; Корпусная мебель,,,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,,,,,,,,,,https://instagram.com/monte.mebel.atyrau,,,,,,,,,,,https://2gis.com/firm/70000001088090218,branch
Real Master,,Мебель на заказ; Мебель для кухни; Интерьерные лестницы,,,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,,+05:00,,,,,,,,,,https://instagram.com/real_master.atyrau,,,https://wa.me/77760556620,,,,,,,,https://2gis.com/firm/70000001089660933,branch
Goldenhouse_atyrau,​компания по изготовлению мебели под заказ,Мебель на заказ; Мебель для кухни,,,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,,+05:00,,,,,,,,,,https://instagram.com/Goldenhouse_atyrau,,,,,,,,,,,https://2gis.com/firm/70000001092021674,branch
Mebelyard,компания по производству мебели на заказ,Мебель на заказ; Мебельные фабрики; Мебель для кухни,,,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,87076661166,,,,,,,https://instagram.com/mebelyard.kz,,,https://wa.me/77076661166,,,,,,,,https://2gis.com/firm/70000001092867979,branch
Modena,студия мебели,Мебель на заказ; Мебель для кухни; Мебель для ванных комнат,"проезд Жиренше Шешен, 25",,,Кара депо м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,1.0,1,87081070232,,,,,,,https://instagram.com/modena_mebel_atyrau,,,https://wa.me/77081070232,,,,,,47.099353,51.950297,https://2gis.com/firm/70000001093948479,branch
Samstonesurface,производственная фирма,Мебель на заказ; Мебель для кухни,,,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,,,,,,,,,,https://instagram.com/Samstonesurface,,,,,,,,,,,https://2gis.com/firm/70000001094203179,branch
Bastau home,компания по продаже мебели,Мебель на заказ; Корпусная мебель,"улица Борана Нысанбаева, 48",2 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,,+05:00,,,87471812881,87029159891,,,,,,https://instagram.com/bastau_home,,,,,,,,,47.122992,51.909507,https://2gis.com/firm/70000001096965261,branch
Furniture_service_06,,Мебель на заказ; Корпусная мебель; Офисная мебель; Мебель для кухни,"проспект Зейноллы Кабдолова, 2а",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,,,87711142448,,,,,,,https://instagram.com/furniture_service_06,,,https://wa.me/77711142448,,,,,,47.075199,51.915694,https://2gis.com/firm/70000001098549601,branch
Akbota jihaz studiasy,,Мебель на заказ; Мебель для кухни,"Бактыгерея Кулманова улица, 105а",3 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,,,87054017770,,,,,,,https://instagram.com/akbota_jihaz_studiasy,,,https://wa.me/77054017770,,,,,,47.108633,51.901955,https://2gis.com/firm/70000001098552738,branch
Fregata,компания по изготовлению мебели под заказ,Мебель на заказ; Корпусная мебель; Офисная мебель; Мебель для кухни,"улица Толесина Алиева, 8а/2",,,Лесхоз м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00,+05:00,,,87026004408,,,,,,,https://instagram.com/mebel_fregata,,,https://wa.me/77026004408,,,,,,47.097053,51.863018,https://2gis.com/firm/70000001049845050,branch
Komfort jihaz,компания по изготовлению мебели под заказ,Мебель на заказ; Корпусная мебель; Мебель для кухни,"20-я улица, 60а",,,Рембаза м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00,+05:00,,,87122206941,87015245926,87084206941,,,,,,,,https://wa.me/77015245926,https://wa.me/77084206941,,,,,47.088019,51.862551,https://2gis.com/firm/70000001053132039,branch
Zlata,компания по изготовлению мебели на заказ,Мебель на заказ; Мебельная фурнитура,"проспект Азаттык, 86",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-16:00,+05:00,,,87011933231,,,,,,,https://instagram.com/mebel_zlata_atyrau,,,https://wa.me/77011933231,,,,,,47.088964,51.913326,https://2gis.com/firm/70000001087636849,branch
Mebelani,компания по изготовлению мебели на заказ,Мебель на заказ; Мебель для кухни; Корпусная мебель,"улица Ыбыраша Альжанова, 31",,,Балауса м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00; Сб: 09:00-16:00",+05:00,,,87022314908,,,,,,,https://instagram.com/zakaz_kuhni_shkafi,,,https://wa.me/77022314908,,,,https://t.me/+77022314908,,47.057442,51.828321,https://2gis.com/firm/70000001079602135,branch
Жиhaз.kz,компания по изготовлению мебели под заказ,Мебель на заказ; Корпусная мебель,"улица Бекет-ата, 137",,,Балауса м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00; Сб: 09:00-13:00, 14:00-18:00",+05:00,5.0,1,87751234003,,,,,,,,,,https://wa.me/77751234003,,,,,,47.054862,51.825534,https://2gis.com/firm/70000001035874161,branch
Империя,компания по изготовлению мебели на заказ,Мебель на заказ; Мебель для ванных комнат; Мебель для кухни; Детская мебель; Мебельные магазины; Изделия из камня для помещений; Корпусная мебель; Мебель для культурно-досуговых учреждений; Медицинская и лабораторная мебель; Мебель для общественного питания; Мебель для учебных и дошкольных учреждений; Мебель для салонов красоты; Торгово-выставочное оборудование; Мебель из стекла; Офисная мебель; Стекло / Зеркала; Стеновые панели; Стеллажи / Витрины,"микрорайон Береке, 21",,,Береке м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,5.0,25,87012607095,,,,,,,https://instagram.com/imperiya_zhihaz_atyrau,https://facebook.com/imperia_mebeli,,https://wa.me/77012607095,,,,,,47.139605,51.955053,https://2gis.com/firm/70000001063611998,branch
Компания по изготовлению мебели на заказ,ИП Нур-ай,Мебель на заказ; Мебель для кухни,,,,,,,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,,,87051261616,,,,,,,,,,https://wa.me/77782086816,https://wa.me/77051261616,,,,,46.998609,51.813681,https://2gis.com/firm/70000001065517255,branch
Korkem_zhihaz,,Мебель на заказ; Корпусная мебель,"улица Стадионная, 10а",,,,,,Атырау городская администрация,Атырауская область,Казахстан,,+05:00,,,87751988548,87474310488,87024443595,,,,,https://instagram.com/korkem__zhihaz,,,https://wa.me/77024443595,,,,,,46.962168,51.765318,https://2gis.com/firm/70000001091780444,branch
Frendom,мебельный салон,Мебель на заказ; Мягкая мебель; Ковры; Мебельные магазины,"улица Сырым Датова, 64",2 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,3.0,2,87052600060,,,,,http://atyrau.frendom.ru/,,https://instagram.com/frendom_atyrau,,,https://wa.me/77052600060,,,,,,47.106553,51.948172,https://2gis.com/firm/70000001048925184,branch
Диас,компания по изготовлению мебели под заказ,Мебель на заказ; Мебель для кухни; Мягкая мебель,"проспект Каныша Сатпаева, 50а",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,,,87028380423,,,,,,,,,,,,,,,,47.103581,51.889588,https://2gis.com/firm/70000001082886793,branch
Темирлан-А,мебельный салон,Мебельные магазины; Мебель для кухни; Мягкая мебель; Корпусная мебель; Детская мебель; Матрасы; Мебель для культурно-досуговых учреждений; Мебельная фурнитура; Мебель из стекла,"улица Сырым Датова, 201а",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.7,35,87751105070,87011005070,87783283831,,,,,https://instagram.com/temirlan.furniture,,,https://wa.me/77011005070,https://wa.me/77783283831,,,,,47.125114,51.959713,https://2gis.com/firm/70000001035526303,branch
Темирлан-А,мебельный салон,Мебель для кухни; Корпусная мебель; Детская мебель; Матрасы; Мягкая мебель,"улица Насыпкали Кобданова, 8",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.7,33,87011005070,87757720010,87751105070,,,,,https://instagram.com/temirlan.furniture,,,https://wa.me/77757720010,https://wa.me/77011005070,,,,,47.128383,51.938114,https://2gis.com/firm/70000001076468058,branch
